,index,SUMLEV,REGION,DIVISION,STATE,NAMEleft,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NATURALINC2010,NATURALINC2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,NETMIG2010,NETMIG2011,RESIDUAL2010,RESIDUAL2011,RBIRTH2011,RDEATH2011,RNATURALINC2011,RINTERNATIONALMIG2011,RDOMESTICMIG2011,RNETMIG2011,NAMEleft.1,NAME,state,StateName,AllRevenue,AllExpenses,AllGovtGrants,AllContributions,AllAssets,ArtMuseumRevenue,ArtMuseumExpenses,ArtMuseumGovtGrants,ArtMuseumContributions,ArtMuseumAssets,ChildrenMuseumRevenue,ChildrenMuseumExpenses,ChildrenMuseumGovtGrants,ChildrenMuseumContributions,ChildrenMuseumAssets,HistoryMuseumRevenue,HistoryMuseumExpenses,HistoryMuseumGovtGrants,HistoryMuseumContributions,HistoryMuseumAssets,MuseumRevenue,MuseumExpenses,MuseumGovtGrants,MuseumContributions,MuseumAssets,PerformingArtsRevenue,PerformingArtsExpenses,PerformingArtsGovtGrants,PerformingArtsContributions,PerformingArtsAssets,DanceRevenue,DanceExpenses,DanceGovtGrants,DanceContributions,DanceAssets,BalletRevenue,BalletExpenses,BalletGovtGrants,BalletContributions,BalletAssets,TheaterRevenue,TheaterExpenses,TheaterGovtGrants,TheaterContributions,TheaterAssets,OperaRevenue,OperaExpenses,OperaGovtGrants,OperaContributions,OperaAssets,SymphonyOrchestraRevenue,SymphonyOrchestraExpenses,SymphonyOrchestraGovtGrants,SymphonyOrchestraContributions,SymphonyOrchestraAssets,MediaRevenue,MediaExpenses,MediaGovtGrants,MediaContributions,MediaAssets,FilmRevenue,FilmExpenses,FilmGovtGrants,FilmContributions,FilmAssets,TelevisionRevenue,TelevisionExpenses,TelevisionGovtGrants,TelevisionContributions,TelevisionAssets,PublishingRevenue,PublishingExpenses,PublishingGovtGrants,PublishingContributions,PublishingAssets,RadioRevenue,RadioExpenses,RadioGovtGrants,RadioContributions,RadioAssets
0,0,10,0,0,0,United States,308745538,308745538,309330219,311591917,584681,2261698,990000,4008000,595786,2450126,394214,1557874,190467,703824,0,0,190467,703824,0,0,12.90983126,7.891894516,5.017936742,2.267028212,0.0,2.267028212,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,20,1,0,0,Northeast Region,55317240,55317244,55366108,55521598,48864,155490,161044,644052,112828,457744,48216,186308,36987,143923,-35356,-173113,1631,-29190,-983,-1628,11.61629225,8.255991877,3.360300375,2.595833302,-3.122311864,-0.526478562,,Northeast Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,2,0,0,Midwest Region,66927001,66926987,66976458,67158835,49471,182377,211730,844948,138684,570171,73046,274777,22995,86892,-46160,-178994,-23165,-92102,-410,-298,12.59844417,8.501431461000001,4.097012708,1.295587434,-2.668857629,-1.373270195,,Midwest Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,20,3,0,0,South Region,114555744,114555757,114857529,116046736,301772,1189207,375655,1534432,228433,944407,147222,590025,74318,262273,79590,334425,153908,596698,642,2484,13.29063368,8.18007411,5.110559565,2.271703383,2.896655027,5.16835841,,South Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,20,4,0,0,West Region,71945553,71945550,72130124,72864748,184574,734624,241571,984568,115841,477804,125730,506764,56167,210736,1926,17682,58093,228418,751,-558,13.58072857,6.590633081,6.990095483999999,2.9068062489999997,0.24389828100000002,3.15070453,,West Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,40,3,6,1,Alabama,4779736,4779735,4785401,4802740,5666,17339,14482,59866,11562,47768,2920,12098,1487,4461,1278,696,2765,5157,-19,84,12.48750931,9.96397529,2.52353402,0.9305244890000001,0.145179342,1.07570383,Alabama,Alabama,AL,Alabama,156914948.71,157722459.01999998,14992270.0,60870422.25,608059670.61,9109430.0,9750313.0,1448617.0,3962108.0,58326573.0,8452873.0,7925835.0,444779.0,4766350.0,14485663.0,5200204.0,4377439.0,212667.0,1091980.0,62525819.0,36999388.0,45013096.0,6289744.0,13678637.0,299128605.0,50366129.51,49525186.45,1812119.0,20195152.51,37749507.1,1144049.0,1100491.0,18900.0,293267.0,1701287.0,2949115.0,2879008.0,85005.0,666341.0,2983031.0,17401344.0,17277734.0,698806.0,7030571.0,12548453.0,961966.0,903133.0,59927.0,622345.0,1748151.0,13896099.0,13076518.0,706825.0,6788061.0,9561705.0,4794916.0,4142060.0,140647.0,3702728.0,6664619.0,1706580.0,1157935.0,1.0,1207860.0,664176.0,82416.0,124069.0,1.0,1.0,139261.0,192224.0,273867.0,1.0,207992.0,1833532.0,1080374.0,1125414.0,140647.0,865373.0,716859.0
6,6,40,4,9,2,Alaska,710231,710231,714146,722718,3915,8572,2834,11193,647,3338,2187,7855,542,1101,1139,-399,1681,702,47,15,15.57976259,4.646229567,10.93353303,1.53250412,-0.555376153,0.977127968,Alaska,Alaska,AK,Alaska,97937543.68,112112898.77,25848878.0,37537464.18,222752681.26999998,363242.0,221248.0,1.0,363242.0,1081171.0,420996.0,431485.0,14139.0,104100.0,198494.0,1348488.0,1350120.0,685605.0,332705.0,3191734.0,7004834.0,7619913.0,1709992.0,2342730.0,21579254.0,20688772.68,19857496.04,1727070.0,6545272.18,27207939.0,2071760.0,1760020.0,10955.0,608876.0,3346861.0,381010.0,403290.0,1.0,17707.0,363107.0,4366509.0,4427895.0,152413.0,2059130.0,4413510.0,949296.0,982163.0,20250.0,577357.0,651596.0,2255734.0,2094561.0,81601.0,944517.0,2499828.0,24103607.0,24560446.0,4764335.0,13483801.0,27584889.0,41006.0,51086.0,1.0,8000.0,52971.0,1588434.0,2006411.0,245212.0,559055.0,3087853.0,90373.0,94328.0,1.0,29939.0,46225.0,8452826.0,8410005.0,1547729.0,4911087.0,7450188.0
7,7,40,4,8,4,Arizona,6392017,6392013,6413158,6482505,21145,69347,20900,87887,11164,45899,9736,41988,5199,20542,6090,7060,11289,27602,120,-243,13.63047406,7.118517288,6.5119567720000004,3.1858772980000003,1.094941765,4.280819063,Arizona,Arizona,AZ,Arizona,605414985.5699999,570461610.7,50849305.0,138624516.94000003,851980358.4599999,33289590.0,25205297.0,242337.0,23121527.0,54122939.0,2255309.0,2179672.0,270721.0,1013303.0,3297674.0,5049324.4,3874406.65,403629.0,2647363.59,15663313.42,81243958.41000001,83030631.45,2331247.0,46879536.18000001,299090962.44,115889851.61000001,111639016.02999999,7478249.0,41485443.01,108405756.47,10124779.2,9839339.6,233648.0,3662736.0,11497267.64,1646275.0,1620438.0,1.0,241303.0,743735.0,20408223.0,20300894.22,336868.0,3474590.0,9137148.0,7750167.0,6555306.0,99359.0,5191985.0,7930823.0,24627798.0,22406204.0,520088.0,12554488.0,17820591.0,21652062.74,22202298.819999997,427500.0,10688835.05,35268928.51,4258836.0,4035952.0,109000.0,2152285.0,4507554.0,1105546.0,1832456.0,303500.0,55559.0,754927.0,2183107.52,1606258.53,1.0,119824.83,3640681.0,10872904.0,12573002.0,15000.0,7540560.0,11737316.0
8,8,40,3,7,5,Arkansas,2915918,2915921,2921588,2937979,5667,16391,9218,38156,6759,28478,2459,9678,951,3178,2244,3480,3195,6658,13,55,13.02348791,9.720172156,3.303315757,1.084721789,1.187801078,2.2725228669999997,Arkansas,Arkansas,AR,Arkansas,241353121.56,153949338.66000003,9872263.0,132182167.19,1580896288.1200001,52175236.0,5906529.0,19798.0,50269774.0,85876078.0,4537509.0,4787664.0,396455.0,500250.0,6142697.0,892017.0,1148894.0,56374.0,611832.0,12370363.0,145838002.0,74313709.0,5530165.0,82596628.0,1328485386.0,28795543.52,21629719.54,1861789.0,17041714.189999998,59068735.18,831783.0,762019.0,1.0,334922.0,371994.0,905347.0,847586.0,1.0,206508.0,376604.0,13356822.0,8176446.0,1429182.0,8644532.0,28645040.0,624055.0,501184.0,1.0,262053.0,1349373.0,9356779.52,7416106.54,346321.0,5768785.1899999995,21466444.18,7459174.0,6783294.0,1003410.0,4413302.0,11343151.0,216206.0,154044.0,1.0,176051.0,95108.0,3551728.0,3238536.0,1.0,3122668.0,8122248.0,2344087.0,2080690.0,188293.0,667649.0,1720104.0,113089.0,94916.0,1.0,43801.0,66653.0
9,9,40,4,9,6,California,37253956,37253956,37338198,37691912,84242,353714,123173,508069,57867,234045,65306,274024,33518,130927,-15021,-50684,18497,80243,439,-553,13.54306958,6.2386953720000005,7.304374204,3.4899855539999995,-1.3510309390000002,2.138954614,California,California,CA,California,5785207172.379997,5424189666.8899975,239649833.0,2486666002.350001,32739898046.399998,357815867.0,385014813.0,15081960.0,226747146.0,4310344410.0,36384228.0,32715739.0,2113796.0,17757558.0,77700011.0,157860612.0,143560507.0,8102154.0,104334140.0,1018736418.0,1182600421.0,1149002437.0,57429944.0,617346001.0,8064112753.0,1847369932.38,1648348736.4299998,41308564.0,782648904.8,4195609244.22,67085620.0,59379100.0,2356179.0,26739518.0,84089635.0,89781946.0,91214853.0,856547.0,37309755.0,69996854.0,365427784.08,359810600.68999994,8176971.0,129328000.0,550190611.96,197622306.0,167673234.0,2753221.0,126548381.0,386117363.0,393683207.0,326971310.0,6624670.0,157250618.0,946582213.0,1044510045.51,801000722.04,43739137.0,398521272.57,1588815716.42,307268903.22,303294346.0,6673889.0,141939046.42999998,327909694.75,305535809.0,199263893.0,7927586.0,50158679.0,565832923.0,54291784.0,52355074.0,12475006.0,16159128.0,194817536.0,110568885.0,75998323.0,3317743.0,71427752.0,141582663.46
